epoch,ats_score_loss,ats_score_mae,domain_logits_acc,domain_logits_loss,loss,lr,val_ats_score_loss,val_ats_score_mae,val_domain_logits_acc,val_domain_logits_loss,val_loss
0,0.18000000715255737,0.18000000715255737,0.04385964944958687,1.9612113237380981,0.7143634557723999,1e-04,0.1686711311340332,0.1686711311340332,0.4545454680919647,1.923599123954773,0.6951495409011841
1,0.1782461702823639,0.1782461702823639,0.2368421107530594,1.920199990272522,0.7008323073387146,1e-04,0.16865608096122742,0.16865608096122742,0.7272727489471436,1.888128638267517,0.6844978928565979
2,0.177643820643425,0.177643820643425,0.6052631735801697,1.8838176727294922,0.6894960403442383,1e-04,0.16854716837406158,0.16854716837406158,0.7272727489471436,1.8561838865280151,0.6748381853103638
3,0.17617419362068176,0.17617419362068176,0.8684210777282715,1.8390295505523682,0.6750308275222778,1e-04,0.16836336255073547,0.16836336255073547,0.7272727489471436,1.8257603645324707,0.6655824780464172
4,0.17592249810695648,0.17592249810695648,0.8859649300575256,1.817499041557312,0.668395459651947,1e-04,0.16814102232456207,0.16814102232456207,0.7272727489471436,1.7963069677352905,0.6565908193588257
5,0.174819216132164,0.174819216132164,0.8859649300575256,1.778233289718628,0.6558434963226318,1e-04,0.16775569319725037,0.16775569319725037,0.7272727489471436,1.766130805015564,0.6472682356834412
6,0.17314806580543518,0.17314806580543518,0.8859649300575256,1.7378405332565308,0.6425557732582092,1e-04,0.16768509149551392,0.16768509149551392,0.7272727489471436,1.7346179485321045,0.6377649307250977
7,0.16996966302394867,0.16996966302394867,0.9035087823867798,1.6991304159164429,0.628717839717865,1e-04,0.1675170511007309,0.1675170511007309,0.7272727489471436,1.7008098363876343,0.6275049448013306
8,0.16945959627628326,0.16945959627628326,0.8859649300575256,1.6506880521774292,0.613828182220459,1e-04,0.16729937493801117,0.16729937493801117,0.7272727489471436,1.6641052961349487,0.6163411736488342
9,0.1657448410987854,0.1657448410987854,0.8859649300575256,1.6151599884033203,0.6005694270133972,1e-04,0.16707779467105865,0.16707779467105865,0.7272727489471436,1.624952793121338,0.6044403314590454
10,0.16534142196178436,0.16534142196178436,0.8859649300575256,1.5742895603179932,0.5880258679389954,1e-04,0.16685174405574799,0.16685174405574799,0.7272727489471436,1.5833336114883423,0.591796338558197
11,0.1629435271024704,0.1629435271024704,0.8859649300575256,1.5184181928634644,0.569585919380188,1e-04,0.16685384511947632,0.16685384511947632,0.7272727489471436,1.5391356945037842,0.5785384178161621
12,0.16601309180259705,0.16601309180259705,0.8859649300575256,1.4591765403747559,0.5539621114730835,1e-04,0.16692222654819489,0.16692222654819489,0.7272727489471436,1.4928799867630005,0.5647096037864685
13,0.162002831697464,0.162002831697464,0.8859649300575256,1.4045761823654175,0.534774899482727,1e-04,0.16687889397144318,0.16687889397144318,0.7272727489471436,1.443782925605774,0.549950122833252
14,0.15963488817214966,0.15963488817214966,0.8859649300575256,1.3600788116455078,0.5197679996490479,5e-05,0.16687561571598053,0.16687561571598053,0.7272727489471436,1.4179273843765259,0.5421911478042603
15,0.16104836761951447,0.16104836761951447,0.8859649300575256,1.3132156133651733,0.5066985487937927,5e-05,0.1669963151216507,0.1669963151216507,0.7272727489471436,1.391296148300171,0.5342862606048584
0,0.1819247603416443,0.1819247603416443,0.5526315569877625,1.881537914276123,0.6918087601661682,1e-04,0.16783678531646729,0.16783678531646729,0.7272727489471436,1.8680815696716309,0.6779102683067322
1,0.1799103021621704,0.1799103021621704,0.8333333134651184,1.8335410356521606,0.6759994626045227,1e-04,0.1678692102432251,0.1678692102432251,0.7272727489471436,1.8258320093154907,0.6652581095695496
2,0.17831337451934814,0.17831337451934814,0.859649121761322,1.7815974950790405,0.6592986583709717,1e-04,0.1679048389196396,0.1679048389196396,0.7272727489471436,1.7821197509765625,0.6521693468093872
3,0.1764993965625763,0.1764993965625763,0.8859649300575256,1.7197552919387817,0.6394761800765991,1e-04,0.16790303587913513,0.16790303587913513,0.7272727489471436,1.737321376800537,0.6387285590171814
4,0.17693723738193512,0.17693723738193512,0.8859649300575256,1.675158977508545,0.6264037489891052,5e-05,0.1679324507713318,0.1679324507713318,0.7272727489471436,1.713700771331787,0.6316629648208618
5,0.1771775335073471,0.1771775335073471,0.8859649300575256,1.6492829322814941,0.618809163570404,5e-05,0.16789430379867554,0.16789430379867554,0.7272727489471436,1.6890853643417358,0.6242516040802002
0,0.179978147149086,0.179978147149086,0.017543859779834747,2.0043272972106934,0.7272830009460449,1e-04,0.16675101220607758,0.16675101220607758,0.09090909361839294,1.94191312789917,0.6992996335029602
1,0.1799667924642563,0.1799667924642563,0.1666666716337204,1.9369516372680664,0.707062304019928,1e-04,0.16632194817066193,0.16632194817066193,0.6818181872367859,1.897011637687683,0.6855288743972778
2,0.17729005217552185,0.17729005217552185,0.5789473652839661,1.8847731351852417,0.6895349621772766,1e-04,0.1660078912973404,0.1660078912973404,0.7272727489471436,1.8590294122695923,0.67391437292099
3,0.1772843897342682,0.1772843897342682,0.7982456088066101,1.843916416168213,0.6772739291191101,1e-04,0.16573651134967804,0.16573651134967804,0.7272727489471436,1.825250267982483,0.663590669631958
4,0.1753891259431839,0.1753891259431839,0.8421052694320679,1.7913708686828613,0.6601836681365967,1e-04,0.16541452705860138,0.16541452705860138,0.7272727489471436,1.7919105291366577,0.6533633470535278
5,0.17366987466812134,0.17366987466812134,0.8684210777282715,1.7625154256820679,0.6503236293792725,1e-04,0.16509173810482025,0.16509173810482025,0.7272727489471436,1.7563563585281372,0.6424711346626282
6,0.1735280454158783,0.1735280454158783,0.8947368264198303,1.713742971420288,0.6355926394462585,1e-04,0.16487622261047363,0.16487622261047363,0.7272727489471436,1.7186648845672607,0.6310128569602966
7,0.17243888974189758,0.17243888974189758,0.8859649300575256,1.6541460752487183,0.616951048374176,1e-04,0.16449949145317078,0.16449949145317078,0.7272727489471436,1.677485704421997,0.6183953285217285
8,0.16808611154556274,0.16808611154556274,0.8859649300575256,1.6166839599609375,0.6026654839515686,1e-04,0.16425125300884247,0.16425125300884247,0.7272727489471436,1.632835030555725,0.6048263907432556
9,0.1704351305961609,0.1704351305961609,0.8859649300575256,1.5559322834014893,0.586084246635437,1e-04,0.1641451120376587,0.1641451120376587,0.7272727489471436,1.5855196714401245,0.5905575156211853
