epoch,loss,lr,rsg_template_accuracy,rsg_template_loss,val_loss,val_rsg_template_accuracy,val_rsg_template_loss
0,3.480581521987915,0.0005,0.16025641560554504,3.480581521987915,3.739312171936035,0.025641025975346565,3.739312171936035
1,2.385932445526123,0.0005,0.3403846025466919,2.385932445526123,3.642580270767212,0.03333333507180214,3.642580270767212
2,1.9313253164291382,0.0005,0.41794872283935547,1.9313253164291382,3.5426154136657715,0.041025642305612564,3.5426154136657715
3,1.766096591949463,0.0005,0.4352564215660095,1.766096591949463,3.3815417289733887,0.06666667014360428,3.3815417289733887
4,1.5530849695205688,0.0005,0.4948717951774597,1.5530849695205688,3.1923916339874268,0.11025641113519669,3.1923916339874268
5,1.3540043830871582,0.0005,0.5570513010025024,1.3540043830871582,2.9384708404541016,0.1666666716337204,2.9384708404541016
6,1.2424931526184082,0.0005,0.5858974456787109,1.2424931526184082,2.580740451812744,0.31794872879981995,2.580740451812744
7,1.1524814367294312,0.0005,0.6096153855323792,1.1524814367294312,2.16121506690979,0.4923076927661896,2.16121506690979
8,1.0486674308776855,0.0005,0.6378205418586731,1.0486674308776855,1.7630269527435303,0.5692307949066162,1.7630269527435303
9,0.9947558045387268,0.0005,0.6544871926307678,0.9947558045387268,1.404468297958374,0.6128205060958862,1.404468297958374
10,0.9233083724975586,0.0005,0.6621794700622559,0.9233083724975586,1.086132287979126,0.6487179398536682,1.086132287979126
11,0.8637708425521851,0.0005,0.6846153736114502,0.8637708425521851,0.9152721762657166,0.6615384817123413,0.9152721762657166
12,0.7987203598022461,0.0005,0.714102566242218,0.7987203598022461,0.7922013998031616,0.6846153736114502,0.7922013998031616
13,0.7600666284561157,0.0005,0.7269230484962463,0.7600666284561157,0.7331696152687073,0.6666666865348816,0.7331696152687073
14,0.7192821502685547,0.0005,0.7294871807098389,0.7192821502685547,0.7000901699066162,0.6820513010025024,0.7000901699066162
